waiting_time,radiant_win,radiant_win_chance,radiant_mu,radiant_sigma,dire_mu,dire_sigma,account_id_1,account_id_2,account_id_3,account_id_4,account_id_5,account_id_6,account_id_7,account_id_8,account_id_9,account_id_10
10.0,False,0.5020508905695067,25.201436146235046,7.372533007176131,25.174619817944674,6.709636605805803,326568.0,175.0,251014.0,78048.0,102588.0,260507.0,125208.0,94193.0,319226.0,79234.0
7.0,True,0.5029175986665604,25.430620273524465,6.423901972615036,25.393821533606687,7.039354423028026,231878.0,93923.0,207114.0,121835.0,56966.0,227447.0,180887.0,129364.0,221395.0,196474.0
10.5,True,0.5052475762071877,26.30983522579359,6.87881406522581,26.243166607585458,6.4281079778536165,106097.0,326938.0,38736.0,2360.0,94060.0,165800.0,246587.0,73790.0,10805.0,214866.0
11.5,False,0.5034827218686946,26.0628138394393,6.242521507649184,26.021358632957725,5.698035411004358,287446.0,53225.0,277768.0,203291.0,83413.0,210710.0,234158.0,240208.0,41070.0,2705.0
26.5,False,0.50558493887555,30.264103599826413,5.849563745813426,30.198787168870222,6.013974640725964,218658.0,260082.0,201313.0,50262.0,113974.0,8740.0,99348.0,8542.0,107704.0,107241.0
5.0,False,0.5028957401917198,23.16797747730554,6.177992903784117,23.131478468357816,7.049538295379127,271172.0,21122.0,82686.0,216101.0,324966.0,195928.0,97772.0,185510.0,209975.0,42287.0
5.5,False,0.503814668770924,24.49193994011359,7.219379402807788,24.441199350721973,7.2809390164103265,191012.0,254363.0,215930.0,72339.0,258052.0,210608.0,187295.0,149440.0,297562.0,93261.0
8.0,True,0.5014133319312084,26.94643705223664,5.836178122029845,26.929653522119207,6.368768553891138,83047.0,112529.0,23113.0,54836.0,147962.0,93300.0,173178.0,98712.0,320999.0,233391.0
10.0,True,0.5016893062137371,28.296235502298384,7.128310797728566,28.274305101286792,6.623115755629862,163164.0,257701.0,292520.0,169693.0,314626.0,248153.0,143524.0,69280.0,84382.0,172158.0
12.0,True,0.5025942456525276,21.568145297317407,6.955039617103024,21.534482998974283,6.9565946843929085,107612.0,265507.0,279019.0,303545.0,41115.0,128980.0,77329.0,299601.0,233639.0,25495.0
13.5,False,0.503693278109072,24.34365525657566,6.437208942573482,24.29650893142515,7.073320508427247,88867.0,78460.0,122961.0,263780.0,95669.0,190011.0,226265.0,221639.0,279438.0,265473.0
14.0,False,0.5016484136308373,27.343211804245335,7.346659129372606,27.321899157966705,6.4651457573360815,210591.0,17236.0,219598.0,293256.0,288111.0,21747.0,298964.0,267258.0,58833.0,140341.0
12.5,False,0.5058399742497959,23.344464397621834,5.9251658454906915,23.273351020293596,6.683325321386742,213779.0,295251.0,117095.0,85623.0,274886.0,173771.0,301924.0,261468.0,235244.0,42946.0
